text	page	type	nResponseOptions	labels	reverse	questionIndex
"I don't like to have to do a lot of thinking"	1	likert	5	Disagree,,,,Agree	1	1
"I try to avoid situations that require thinking in depth about something"	2	likert	5	Disagree,,,,Agree	1	2
"I prefer to do something that challenges my thinking abilities rather than something that requires little thought"	3	likert	5	Disagree,,,,Agree	0	3
"I prefer complex to simple problems"	4	likert	5	Disagree,,,,Agree	0	4
"Thinking hard and for a long time about something gives me little satisfaction"	5	likert	5	Disagree,,,,Agree	0	5
"I trust my initial feelings about people"	6	likert	5	Disagree,,,,Agree	0	6
"I believe in trusting my hunches"	7	likert	5	Disagree,,,,Agree	0	7
"My initial impressions of people are almost always right"	8	likert	5	Disagree,,,,Agree	0	8
"When it comes to trusting people, I can usually rely on my 'gut feelings'"	9	likert	5	Disagree,,,,Agree	0	9
"I can usually feel when a person is right or wrong even if I can't explain how I know"	10	likert	5	Disagree,,,,Agree	0	10
